Loan_ID;Gender;Married;Dependents;Education;Self_Employed;ApplicantIncome;CoapplicantIncome;LoanAmount;Loan_Amount_Term;Credit_History;Property_Area;
LP002112;Male;Yes;2;Graduate;Yes;2500;4600;176;360;1;Rural;Y
LP001894;Male;Yes;0;Graduate;No;2620;2223;150;360;1;Semiurban;Y
LP001115;Male;No;0;Graduate;No;1300;3470;100;180;1;Semiurban;
LP001698;Male;No;0;Not Graduate;No;3975;2531;55;360;1;Rural;Y
LP002123;Male;Yes;0;Graduate;No;2613;2417;123;360;1;Semiurban;
LP001448;;Yes;3;Graduate;No;23803;0;370;360;1;Rural;Y
LP001109;Male;Yes;0;Graduate;No;1828;1330;100;;0;Urban;N
LP001565;Male;Yes;1;Graduate;No;3089;1280;121;360;0;Semiurban;N
LP002753;Female;No;1;Graduate;;3652;0;95;360;1;Semiurban;Y
LP002408;Male;No;0;Graduate;No;3660;5064;187;360;1;Semiurban;Y
LP001892;Male;No;0;Graduate;No;2833;1857;126;360;1;Rural;Y
LP001603;Male;Yes;0;Not Graduate;Yes;4344;736;87;360;1;Semiurban;N
LP002009;Female;No;0;Graduate;No;2918;0;65;360;;Rural;
LP002755;Male;Yes;1;Not Graduate;No;2239;2524;128;360;1;Urban;Y
LP001332;Male;Yes;0;Not Graduate;No;2415;1721;110;360;1;Semiurban;
LP002723;Male;No;2;Graduate;No;3588;0;110;360;0;Rural;N
LP002659;Male;Yes;3;Graduate;No;3466;3428;150;360;1;Rural;Y
LP002494;Male;No;0;Graduate;No;6000;0;140;360;1;Rural;Y
LP002186;Male;Yes;0;Not Graduate;No;2747;2458;118;36;1;Semiurban;
LP002224;Male;No;0;Graduate;No;3069;0;71;480;1;Urban;N
LP001758;Male;Yes;2;Graduate;No;6250;1695;210;360;1;Semiurban;Y
LP002180;Male;No;0;Graduate;Yes;6822;0;141;360;1;Rural;Y
LP002953;Male;Yes;3;Graduate;No;5703;0;128;360;1;Urban;Y
LP002362;Male;Yes;1;Graduate;No;7250;1667;110;;0;Urban;N
LP001527;Male;Yes;3;Graduate;No;6835;0;188;360;;Semiurban;
LP002279;Male;No;0;Graduate;No;2412;2755;130;360;1;Rural;
LP002178;Male;Yes;0;Graduate;No;3013;3033;95;300;;Urban;Y
LP001585;;Yes;3;Graduate;No;51763;0;700;300;1;Urban;Y
LP001014;Male;Yes;3;Graduate;No;3036;2504;158;360;0;Semiurban;N
LP002690;Male;No;0;Graduate;No;2500;0;55;360;1;Semiurban;Y
LP002027;Male;Yes;0;Graduate;No;4334;2945;165;360;1;Semiurban;
LP001083;Male;No;3;Graduate;No;4166;0;40;180;;Urban;
LP002807;Male;Yes;2;Not Graduate;No;3675;242;108;360;1;Semiurban;Y
LP001452;Male;Yes;2;Graduate;No;4635;8000;102;180;1;Rural;
LP002945;Male;Yes;0;Graduate;Yes;9963;0;180;360;1;Rural;Y
LP001904;Male;Yes;0;Graduate;No;3103;1300;80;360;1;Urban;Y
LP001426;Male;Yes;;Graduate;No;5667;2667;180;360;1;Rural;Y
LP001910;Male;No;1;Not Graduate;Yes;4053;2426;158;360;0;Urban;N
LP002624;Male;Yes;0;Graduate;No;20833;6667;480;360;;Urban;Y
LP001974;Female;No;0;Graduate;No;5000;0;132;360;1;Rural;Y
LP001739;Male;Yes;0;Graduate;No;4258;0;125;360;1;Urban;
LP001926;Male;Yes;0;Graduate;No;3704;2000;120;360;1;Rural;Y
LP002745;Male;Yes;0;Graduate;No;3708;4700;132;360;1;Semiurban;
LP001886;Male;No;0;Graduate;No;4150;4256;209;360;1;Rural;
LP002425;Male;No;0;Graduate;No;3417;738;100;360;;Rural;
LP001882;Male;Yes;3;Graduate;No;4333;1811;160;360;0;Urban;Y
LP002979;Male;Yes;3;Graduate;No;4106;0;40;180;1;Rural;Y
LP002205;Male;No;1;Graduate;No;3062;1987;111;180;0;Urban;N
LP002692;Male;Yes;3;Graduate;Yes;5677;1424;100;360;1;Rural;Y
LP001405;Male;Yes;1;Graduate;No;2214;1398;85;360;;Urban;Y
LP001567;Male;Yes;3;Graduate;No;4513;0;120;360;1;Rural;
LP002111;Male;Yes;;Graduate;No;3016;1300;100;360;;Urban;
LP001270;Male;Yes;3;Not Graduate;Yes;8000;250;187;360;1;Semiurban;
LP002361;Male;Yes;0;Graduate;No;1820;1719;100;360;1;Urban;Y
LP002885;Male;No;0;Not Graduate;No;2868;0;70;360;1;Urban;
LP002634;Female;No;1;Graduate;No;13262;0;40;360;1;Urban;Y
LP001790;Female;No;1;Graduate;No;3812;0;112;360;1;Rural;Y
LP001650;Male;Yes;0;Graduate;No;2333;3803;146;360;1;Rural;
LP002138;Male;Yes;0;Graduate;No;2625;6250;187;360;1;Rural;Y
LP002056;Male;Yes;2;Graduate;No;9167;0;235;360;1;Semiurban;
LP001105;Male;Yes;2;Graduate;No;4583;2916;200;360;1;Urban;
LP001883;Female;No;0;Graduate;;3418;0;135;360;1;Rural;N
LP001954;Female;Yes;1;Graduate;No;4666;0;135;360;1;Urban;Y
LP001570;Male;Yes;2;Graduate;No;4167;1447;158;360;1;Rural;Y
LP002635;Female;Yes;2;Not Graduate;No;3729;0;117;360;1;Semiurban;
LP002804;Female;Yes;0;Graduate;No;4180;2306;182;360;1;Semiurban;Y
LP001563;;No;0;Graduate;No;1596;1760;119;360;0;Urban;
LP002912;Male;Yes;1;Graduate;No;4283;3000;172;84;1;Rural;N
LP001135;Female;No;0;Not Graduate;No;3765;0;125;360;1;Urban;
LP002443;Male;Yes;2;Graduate;No;3340;1710;150;360;0;Rural;N
LP001361;Male;Yes;0;Graduate;No;2458;5105;188;360;0;Rural;
LP001630;Male;No;0;Not Graduate;No;2333;1451;102;480;0;Urban;N
LP001207;Male;Yes;0;Not Graduate;Yes;2609;3449;165;180;0;Rural;N
LP002651;Male;Yes;1;Graduate;;6300;0;125;360;0;Urban;
LP002794;Female;No;0;Graduate;No;2667;1625;84;360;;Urban;Y
LP001872;Male;No;0;Graduate;Yes;5166;0;128;360;1;Semiurban;Y
LP002825;Male;Yes;3;Graduate;No;9699;0;300;360;1;Urban;
LP002980;Male;No;0;Graduate;No;3250;1993;126;360;;Semiurban;
LP002556;Male;No;0;Graduate;No;2435;0;75;360;1;Urban;N
LP001386;Male;Yes;0;Not Graduate;No;4750;3583;144;360;1;Semiurban;
LP002195;Male;Yes;1;Graduate;Yes;3507;3148;212;360;1;Rural;
LP002784;Male;Yes;1;Not Graduate;No;2492;2375;;360;1;Rural;Y
LP002441;Male;No;;Graduate;No;3579;3308;138;360;;Semiurban;
LP002626;Male;Yes;0;Graduate;Yes;2479;3013;188;360;1;Urban;Y
LP001584;Female;No;0;Graduate;Yes;4742;0;108;360;1;Semiurban;
LP001541;Male;Yes;1;Graduate;No;6000;0;160;360;;Rural;Y
LP002940;Male;No;0;Not Graduate;No;3833;0;110;360;1;Rural;Y
LP001327;Female;Yes;0;Graduate;No;2484;2302;137;360;1;Semiurban;Y
LP002046;Male;Yes;0;Not Graduate;No;4483;0;135;360;;Semiurban;
LP001688;Male;Yes;1;Not Graduate;No;3500;1083;135;360;1;Urban;Y
LP001798;Male;Yes;2;Graduate;No;5819;5000;120;360;1;Rural;Y
LP001228;Male;No;0;Not Graduate;No;3200;2254;126;180;0;Urban;N
LP002368;Male;Yes;2;Graduate;No;5935;0;133;360;1;Semiurban;Y
LP001335;Male;Yes;0;Graduate;Yes;7016;292;125;360;1;Urban;
LP002858;Female;No;0;Graduate;No;4333;2333;162;360;0;Rural;
LP001716;Male;Yes;0;Graduate;No;3173;3021;137;360;1;Urban;Y
LP002053;Male;Yes;3;Graduate;No;4342;189;124;360;1;Semiurban;Y
LP001938;Male;Yes;2;Graduate;No;4400;0;127;360;0;Semiurban;N
LP002347;Male;Yes;0;Graduate;No;3246;1417;138;360;1;Semiurban;Y
LP002357;Female;No;0;Not Graduate;No;2720;0;80;;0;Urban;N
LP002143;Female;Yes;0;Graduate;No;2423;505;130;360;1;Semiurban;Y
LP002606;Female;No;0;Graduate;No;3159;0;100;360;1;Semiurban;Y
LP002855;Male;Yes;2;Graduate;No;16666;0;275;360;1;Urban;Y
LP001737;Male;No;0;Graduate;No;4000;0;83;84;1;Urban;
LP001800;Male;Yes;1;Not Graduate;No;2510;1983;140;180;1;Urban;N
LP002229;Male;No;0;Graduate;No;5941;4232;296;360;1;Semiurban;Y
LP001870;Female;No;1;Graduate;No;3481;0;155;36;1;Semiurban;N
LP001321;Male;Yes;2;Graduate;No;3613;3539;134;180;1;Semiurban;
LP001691;Male;Yes;2;Not Graduate;No;3917;0;124;360;1;Semiurban;Y
LP002393;Female;;;Graduate;No;10047;0;;240;1;Semiurban;Y
LP002191;Male;Yes;0;Graduate;No;19730;5266;570;360;1;Rural;N
LP002244;Male;Yes;0;Graduate;No;2333;2417;136;360;1;Urban;Y
LP002604;Male;Yes;2;Graduate;No;3166;2833;145;360;1;Urban;
LP001237;Male;Yes;;Not Graduate;No;4163;1475;162;360;1;Urban;
LP002550;Female;No;0;Graduate;No;5769;0;110;180;1;Semiurban;
LP002472;Male;No;2;Graduate;No;4354;0;136;360;1;Rural;Y
LP002983;Male;Yes;1;Graduate;No;8072;240;253;360;1;Urban;Y
LP002256;Female;No;2;Graduate;Yes;5184;0;187;360;0;Semiurban;
LP002190;Male;Yes;1;Graduate;No;6325;0;175;360;1;Semiurban;Y
LP002554;Male;No;0;Graduate;No;2166;2057;122;360;1;Semiurban;
LP001015;Male;Yes;0;Graduate;No;5720;0;110;360;1;Urban;
LP001213;Male;Yes;1;Graduate;No;4945;0;;360;0;Rural;N
LP001352;Male;Yes;0;Not Graduate;No;4700;0;135;360;0;Semiurban;
LP002868;Male;Yes;2;Graduate;No;3159;461;108;84;1;Urban;Y
LP001917;Female;No;0;Graduate;No;1811;1666;54;360;1;Urban;Y
LP002529;Male;Yes;2;Graduate;No;6700;1750;230;300;1;Semiurban;Y
LP001658;Male;No;0;Graduate;No;3858;0;76;360;1;Semiurban;Y
LP001581;Male;Yes;0;Not Graduate;;1820;1769;95;360;1;Rural;Y
LP002610;Male;Yes;1;Not Graduate;;1792;2565;128;360;1;Urban;
LP002788;Male;Yes;0;Not Graduate;No;2454;2333;181;360;0;Urban;N
LP002161;Female;No;1;Graduate;No;4723;0;81;360;1;Semiurban;N
LP002355;;Yes;0;Graduate;No;3186;3145;150;180;0;Semiurban;
LP002402;Male;Yes;0;Graduate;No;3333;4288;160;360;1;Urban;
LP001906;Male;No;0;Graduate;;2964;0;84;360;0;Semiurban;
LP002116;Female;No;0;Graduate;No;2378;0;46;360;1;Rural;N
LP001754;Male;Yes;;Not Graduate;Yes;4735;0;138;360;1;Urban;N
LP001497;Male;Yes;2;Graduate;No;5042;2083;185;360;1;Rural;N
LP002625;;No;0;Graduate;No;3583;0;96;360;1;Urban;N
LP002517;Male;Yes;1;Not Graduate;No;2653;1500;113;180;0;Rural;N
LP002407;Female;Yes;0;Not Graduate;Yes;7142;0;138;360;1;Rural;Y
LP002360;Male;Yes;;Graduate;No;10000;0;;360;1;Urban;
LP001572;Male;Yes;0;Graduate;No;9323;0;75;180;1;Urban;Y
LP002329;Male;No;0;Graduate;No;4333;0;66;480;1;Urban;
LP002212;Male;Yes;0;Graduate;No;2166;2166;108;360;;Urban;
LP002530;;Yes;2;Graduate;No;2873;1872;132;360;0;Semiurban;N
LP001486;Male;Yes;1;Graduate;No;4364;2500;185;360;1;Semiurban;
LP001599;Male;Yes;0;Graduate;No;4167;4754;160;360;1;Rural;
LP002938;Male;Yes;0;Graduate;Yes;16120;0;260;360;1;Urban;Y
LP001407;Male;Yes;0;Graduate;No;3189;2367;186;360;1;Urban;
LP002941;Male;Yes;2;Not Graduate;Yes;6383;1000;187;360;1;Rural;N
LP002989;Male;No;0;Graduate;Yes;9200;0;98;180;1;Rural;
LP001728;Male;Yes;1;Graduate;Yes;3343;1517;105;360;1;Rural;
LP001514;Female;Yes;0;Graduate;No;2330;4486;100;360;1;Semiurban;Y
LP002921;Male;Yes;3;Not Graduate;No;5316;187;158;180;0;Semiurban;
LP001323;Female;Yes;2;Graduate;No;2779;3664;176;360;0;Semiurban;
LP002593;Male;Yes;1;Graduate;No;8333;4000;;360;1;Urban;
LP002358;Male;Yes;2;Graduate;Yes;5000;2166;150;360;1;Urban;
LP002932;Male;Yes;3;Graduate;No;7603;1213;197;360;1;Urban;
LP002547;Male;Yes;1;Graduate;No;18333;0;500;360;1;Urban;N
LP001220;Male;Yes;0;Graduate;No;5629;818;100;360;1;Urban;
LP001472;Female;No;0;Graduate;;5058;0;200;360;1;Rural;
LP002069;Male;Yes;2;Not Graduate;;3785;2912;180;360;0;Rural;
LP001267;Female;Yes;2;Graduate;No;1378;1881;167;360;1;Urban;N
LP001359;Male;Yes;0;Graduate;No;7666;0;187;360;1;Semiurban;
LP001915;Male;Yes;2;Graduate;No;2301;985.7999878;78;180;1;Urban;Y
LP001034;Male;No;1;Not Graduate;No;3596;0;100;240;;Urban;Y
LP001771;Female;No;3;Graduate;No;4083;0;103;360;;Semiurban;
LP001657;Male;Yes;0;Not Graduate;No;6033;0;160;360;1;Urban;N
LP001319;Male;Yes;2;Not Graduate;No;3273;1820;81;360;1;Urban;Y
LP001613;Female;No;0;Graduate;No;1762;2666;104;360;0;Urban;
LP001643;Male;Yes;0;Graduate;No;2383;2138;58;360;;Rural;Y
LP002738;Male;No;2;Graduate;No;3617;0;107;360;1;Semiurban;Y
LP002602;Male;No;0;Graduate;No;6283;4416;209;360;0;Rural;N
LP002899;Male;Yes;2;Graduate;No;8667;0;254;360;1;Rural;
LP002130;Male;Yes;;Not Graduate;No;3523;3230;152;360;0;Rural;N
LP002961;Male;Yes;1;Graduate;No;3400;2500;173;360;1;Semiurban;Y
LP001562;Male;Yes;0;Graduate;No;7933;0;275;360;1;Urban;N
LP002768;Male;No;0;Not Graduate;No;3358;0;80;36;1;Semiurban;N
LP002453;Male;No;0;Graduate;Yes;7085;0;84;360;1;Semiurban;Y
LP001096;Female;No;0;Graduate;No;4666;0;124;360;1;Semiurban;
LP001018;Male;Yes;2;Graduate;No;4006;1526;168;360;1;Urban;Y
LP001445;Male;Yes;2;Not Graduate;No;4136;0;149;480;0;Rural;
LP002888;Male;No;0;Graduate;;3182;2917;161;360;1;Urban;Y
LP002036;Male;Yes;0;Graduate;No;2058;2134;88;360;;Urban;Y
LP002065;Male;Yes;3;Graduate;No;15000;0;300;360;1;Rural;Y
LP001471;Male;No;2;Not Graduate;No;3235;2015;77;360;1;Semiurban;
LP002975;Male;Yes;0;Graduate;No;4158;709;115;360;1;Urban;
LP002495;Male;Yes;2;Graduate;No;5667;440;130;360;0;Semiurban;
LP001975;Male;Yes;0;Graduate;No;5225;0;143;360;1;Rural;
LP001713;Male;Yes;1;Graduate;Yes;7787;0;240;360;1;Urban;Y
LP001548;Male;Yes;2;Not Graduate;No;2687;0;50;180;1;Rural;
LP002731;Female;No;0;Not Graduate;Yes;18165;0;125;360;1;Urban;Y
LP002555;Male;Yes;2;Graduate;Yes;4583;2083;160;360;1;Semiurban;Y
LP001008;Male;No;0;Graduate;No;6000;0;141;360;1;Urban;Y
LP001232;Male;Yes;0;Graduate;No;4260;3900;185;;;Urban;
LP002101;Male;Yes;0;Graduate;;63337;0;490;180;1;Urban;Y
LP001233;Male;Yes;1;Graduate;No;10750;0;312;360;1;Urban;Y
LP001120;Male;No;0;Graduate;No;1800;1213;47;360;1;Urban;Y
LP001751;Male;Yes;0;Graduate;No;3250;0;170;360;1;Rural;N
LP002126;Male;Yes;3;Not Graduate;No;3173;0;74;360;1;Semiurban;Y
LP001082;Male;Yes;1;Graduate;;2185;1516;162;360;1;Semiurban;
LP002183;Male;Yes;0;Not Graduate;No;3754;3719;118;;1;Rural;
LP002876;Male;No;0;Graduate;No;6858;0;176;360;1;Rural;
LP002706;Male;Yes;1;Not Graduate;No;5285;1430;161;360;0;Semiurban;Y
LP002113;Female;No;3;Not Graduate;No;1830;0;;360;0;Urban;N
LP001817;Male;No;0;Not Graduate;Yes;8703;0;199;360;0;Rural;
LP002639;Male;Yes;2;Graduate;No;4120;0;128;360;1;Rural;
LP002568;Male;No;0;Not Graduate;No;9000;0;122;360;1;Rural;
LP002369;Male;Yes;0;Graduate;No;2920;16.12000084;87;360;1;Rural;Y
LP002281;Male;Yes;0;Graduate;No;3033;1459;95;360;1;Urban;Y
LP002328;Male;Yes;0;Not Graduate;No;6096;0;218;360;0;Rural;N
LP002158;Male;Yes;0;Not Graduate;No;3000;1666;100;480;0;Urban;N
LP002004;Male;No;0;Not Graduate;No;2927;2405;111;360;1;Semiurban;Y
LP002141;Male;Yes;3;Graduate;No;2666;2083;95;360;1;Rural;Y
LP001979;Male;No;0;Graduate;No;3017;2845;159;180;0;Urban;
LP002729;Male;No;1;Graduate;No;11250;0;196;360;;Semiurban;N
LP001640;Male;Yes;0;Graduate;Yes;39147;4750;120;360;1;Semiurban;Y
LP002264;Male;Yes;0;Graduate;No;2553;1768;102;360;1;Urban;
LP002712;Male;No;2;Not Graduate;No;2733;1083;180;360;;Semiurban;
LP001183;Male;Yes;2;Graduate;No;6250;820;192;360;1;Urban;
LP001491;Male;Yes;2;Graduate;Yes;3316;3500;88;360;1;Urban;Y
LP002928;Male;Yes;0;Graduate;No;3000;3416;56;180;1;Semiurban;Y
LP001947;Male;Yes;0;Graduate;No;2383;3334;172;360;1;Semiurban;Y
LP002572;Male;Yes;1;Graduate;;8750;0;297;360;1;Urban;
LP002527;Male;Yes;2;Graduate;Yes;16525;1014;150;360;1;Rural;Y
LP002444;Male;No;1;Not Graduate;Yes;2769;1542;190;360;;Semiurban;N
LP002840;Female;No;0;Graduate;No;2378;0;9;360;1;Urban;N
LP001788;Female;No;0;Graduate;Yes;3463;0;122;360;;Urban;Y
LP001607;Female;No;0;Not Graduate;No;0;1760;180;360;1;Semiurban;
LP001243;Male;Yes;0;Graduate;No;3208;3066;172;360;1;Urban;Y
LP001813;Male;No;0;Graduate;Yes;6050;4333;120;180;1;Urban;N
LP002455;Male;Yes;2;Graduate;No;3859;0;96;360;1;Semiurban;Y
LP001499;Female;Yes;3;Graduate;No;6260;0;110;360;1;Semiurban;
LP001488;Male;Yes;3;Graduate;No;4000;7750;290;360;1;Semiurban;N
LP001849;Male;No;0;Not Graduate;No;6045;0;115;360;0;Rural;N
LP001422;Female;No;0;Graduate;No;10408;0;259;360;1;Urban;Y
LP001666;Male;No;0;Graduate;No;8333;3750;187;360;1;Rural;Y
LP002055;Female;No;0;Graduate;No;3166;2985;132;360;;Rural;Y
LP001547;Male;Yes;1;Graduate;No;3901;0;116;360;1;Urban;
LP001338;Female;No;2;Graduate;No;4968;0;189;360;1;Semiurban;
LP002118;Female;No;0;Graduate;No;1937;1152;78;360;1;Semiurban;
LP001333;Male;Yes;0;Graduate;No;1977;997;50;360;1;Semiurban;Y
LP001994;Female;No;0;Graduate;No;2400;1863;104;360;0;Urban;N
LP002045;Male;Yes;3;Graduate;No;10166;750;150;;1;Urban;
LP002142;Female;Yes;0;Graduate;Yes;5500;0;105;360;0;Rural;N
LP002342;Male;Yes;2;Graduate;Yes;1600;20000;239;360;1;Urban;N
LP001483;Male;Yes;3;Graduate;No;13518;0;390;360;1;Rural;
LP002795;Male;Yes;3;Graduate;Yes;10139;0;260;360;1;Semiurban;Y
LP002615;Male;Yes;2;Graduate;No;4865;5624;208;360;1;Semiurban;Y
LP002536;Male;Yes;3;Not Graduate;No;3095;0;113;360;1;Rural;Y
LP001896;Male;Yes;2;Graduate;No;3900;0;90;360;1;Semiurban;Y
LP002501;;Yes;0;Graduate;No;16692;0;110;360;1;Semiurban;Y
LP001136;Male;Yes;0;Not Graduate;Yes;4695;0;96;;1;Urban;Y
LP002879;Male;Yes;0;Graduate;No;3391;1966;133;360;0;Rural;
LP002643;Male;Yes;2;Graduate;No;3283;2035;148;360;1;Urban;Y
LP002379;Male;No;0;Graduate;No;6500;0;105;360;0;Rural;N
LP001176;Male;No;0;Graduate;No;2942;2382;125;180;1;Urban;
LP001312;Male;Yes;0;Not Graduate;Yes;5293;0;92;360;1;Urban;
LP001370;Male;No;0;Not Graduate;;7333;0;120;360;1;Rural;N
